price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed,price_to_assessed
104952.38095238096,11.56126201153152,89.24522189828313,Detached,B3A4H1,B3A,cluster-04,1176.0,4.0,2,44.678993,-63.592995,-2841.270978454035,1996.2124154940489,4044.0690130700254,,1.0,882b012cbdfffff,424000,95000.0,2022-05-17,1.1047619047619048,False,0.24752920035938905
183942.85714285716,12.122380429351477,66.86399750739992,Detached,B3Z1A8,B3Z,cluster-02,2751.0,3.0,3,44.662521,-63.783401,-2848.727486613921,1994.7407820754408,4068.322243126801,,2.0,882b0e9547fffff,913800,166500.0,2022-05-20,1.1047619047619048,False,0.2012944376700122
154556.19047619047,11.948313001602411,159.9960563935719,Detached,B2Z0C6,B2Z,cluster-01,966.0,1.0,1,44.696775,-63.409082,-2834.18147111055,1997.8016954006252,4020.711680082724,,3.0,882b0125d7fffff,625100,139900.0,2022-05-20,1.1047619047619048,False,0.24725034470675167
174552.38095238098,12.069980152957946,80.81128747795415,Duplex,B2T1E6,B2T,cluster-06,2160.0,4.0,4,44.809375,-63.618981,-2850.726776746875,2007.8800878906252,4047.374743478361,,3.0,882b012f21fffff,940800,158000.0,2022-05-20,1.1047619047619048,False,0.18553611920958862
104952.38095238096,11.56126201153152,59.972789115646265,Detached,B4C1T7,B4C,cluster-06,1750.0,4.0,2,44.766975,-63.66617,-2850.14184073575,2004.0820506506252,4053.3812024689,,54.0,882b012d07fffff,435200,95000.0,2022-05-27,1.1047619047619048,False,0.2411589635854342
138095.2380952381,11.83569885723328,124.8600706105227,Detached,B3L3G1,B3L,cluster-04,1106.0,3.0,1,44.641611,-63.611077,-2839.700954725047,1992.8734326753208,4046.369117099929,,106.0,882b0c5925fffff,619100,125000.0,2022-05-31,1.1047619047619048,False,0.22305804893432096
220952.38095238095,12.305702486479015,167.00860238275206,Detached,B4B0N6,B4B,cluster-02,1323.0,2.0,1,44.713075,-63.770283,-2851.365446550225,1999.2590759556251,4066.648993900089,,4.0,882b0e90ddfffff,1438400,200000.0,2022-06-03,1.1047619047619048,False,0.15360983102918585
182285.7142857143,12.11333059383156,85.02132196162047,Detached,B3T2E3,B3T,cluster-10,2144.0,3.0,2,44.558412,-63.736747,-2840.008232365764,1985.4520799617435,4062.372918142009,,3.0,882b0e94bdfffff,711800,165000.0,2022-06-28,1.1047619047619048,False,0.2560911973668366
194834.95145631063,12.179908076356645,92.03351509509244,Detached,B0J2L0,B0J,cluster-08,2117.0,3.0,3,44.824204,-63.20455,-2833.0936429282,2009.209264233616,3994.8151407025,,3.0,882b0134c5fffff,662900,173000.0,2022-07-12,1.1262135922330097,False,0.29391303583694467
259029.12621359224,12.46469579078206,66.6055865810214,Detached,B3T0L2,B3T,cluster-02,3889.0,5.0,5,44.640595,-63.724246,-2844.6882573663697,1992.7827219540247,4060.779528268516,,3.0,882b0e946bfffff,1161100,230000.0,2022-07-14,1.1262135922330097,False,0.2230894205611853
225242.7184466019,12.324933848406902,76.92715793941323,Detached,B3Z0E3,B3Z,cluster-07,2928.0,3.0,3,44.675213,-63.828199,-2851.538385731387,1995.8746565953688,4074.038987583601,,14.0,882b0e8259fffff,807600,200000.0,2022-07-14,1.1262135922330097,False,0.27890381184571805
101359.22330097089,11.526426152189131,20.1750046379321,Detached,B2T0T8,B2T,cluster-06,5024.0,4.0,5,44.812601,-63.628813,-2851.372609072613,2008.169208385201,4048.625843788969,,4.0,882b012f25fffff,1972700,90000.0,2022-07-19,1.1262135922330097,False,0.051380961778765596
154508.19672131148,11.948002427125038,94.67414014786245,Detached,B3Z1E2,B3Z,cluster-07,1632.0,3.0,3,44.685792,-63.8689,-2854.0323806688,1996.820006667264,4079.236387209999,,3.0,882b0e826bfffff,524300,130000.0,2022-08-09,1.1885245901639343,False,0.2946942527585571
160450.81967213115,11.985742755107884,97.71669894770471,Detached,B0J2L0,B0J,cluster-08,1642.0,2.0,2,44.81965,-63.198596,-2832.5389532114004,2008.8010261225,3994.062536371216,,2.0,882b0134c1fffff,649300,135000.0,2022-08-11,1.1885245901639343,False,0.24711353715097975
151536.88524590165,11.928584341267936,25.088888285745305,Detached,B4B2G5,B4B,cluster-02,6040.0,5.0,6,44.699965,-63.712423,-2847.943078165195,1998.0868710012248,4059.272844530929,,4.0,882b0e9745fffff,2190100,127500.0,2022-08-22,1.1885245901639343,False,0.0691917653284789
140325.53278688525,11.851720236609786,63.78433308494784,Detached,B3V1P3,B3V,cluster-04,2200.0,3.0,3,44.51657,-63.545775,-2828.83994099175,1981.7250045649,4038.065520350625,,9.0,882b0c4a0bfffff,680600,118067.0,2022-08-22,1.1885245901639343,False,0.20617915484408647
140130.4103896104,11.850328770794889,48.979521282632085,Detached,B3N1W9,B3N,cluster-04,2861.0,5.0,2,44.636432,-63.631013,-2840.261384865616,1992.411061690624,4048.9058154061695,,,882b0e9611fffff,680300,116272.0,2022-09-07,1.2051948051948052,False,0.20598325795915096
148238.96103896105,11.906580852293024,50.38713835450749,Detached,B3Z1G8,B3Z,cluster-07,2942.0,3.0,3,44.693709,-63.837238,-2853.122938535742,1997.5276241766808,4075.192955468644,,3.0,882b0e8249fffff,864700,123000.0,2022-09-08,1.2051948051948052,False,0.1714339783034128
